Subject,CatalogNumber,CourseTitle,CourseType,Dates,Credit,MeetingTime,Room,Instructor,TotalSeats,SeatsTaken,AvailableSeats
ACCT,100,Introduction to Accounting for Non-Business Majors,Lecture,02/01/2021 - 05/07/2021,3 units,MW 9:00 AM - 10:15 AM,Web/Distance Learning,Dallin Smith,45,41,4
ACCT,101,Introduction to Financial Accounting,Lecture,02/01/2021 - 05/07/2021,3 units,MW 9:00 AM - 10:15 AM,Web/Distance Learning,Anthony Bucaro,45,45,0
ACCT,101,Introduction to Financial Accounting,Lecture,02/01/2021 - 05/07/2021,3 units,MW 12:45 PM - 2:00 PM,Web/Distance Learning,Anthony Bucaro,45,44,1
ACCT,102,Management Accounting,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 10:00 AM - 11:15 AM,Web/Distance Learning,Karen Braun,45,46,-1
ACCT,102,Management Accounting,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 2:30 PM - 3:45 PM,Web/Distance Learning,Karen Braun,45,43,2
ACCT,300,Corporate Reporting I,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 11:30 AM - 12:45 PM,Web/Distance Learning,Heidi Blakeway-Phillips,40,17,23
ACCT,301,Corporate Reporting II,Lecture,02/01/2021 - 05/07/2021,3 units,MW 12:45 PM - 2:00 PM,Web/Distance Learning,Heidi Blakeway-Phillips,40,27,13
ACCT,305,"Income Tax: Concepts, Skills, Planning",Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 1:00 PM - 2:15 PM,Peter B Lewis 05,"Tiffany Schwendeman,Timothy Fogarty",40,30,10
ACCT,305,"Income Tax: Concepts, Skills, Planning",Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 1:00 PM - 2:15 PM,Web/Distance Learning,Timothy Fogarty,40,30,10
ACCT,307,Applied Analytics for Accounting,Lecture,02/01/2021 - 05/07/2021,3 units,MW 9:00 AM - 10:15 AM,Web/Distance Learning,Thomas King,45,23,22
ACCT,314,Attestation and Assurance Services,Lecture,02/01/2021 - 05/07/2021,3 units,MW 10:35 AM - 11:50 AM,Web/Distance Learning,Melissa Carlisle,40,28,12
ACCT,400,Introduction to Accounting for Non-Business Majors,Lecture,02/01/2021 - 05/07/2021,3 units,MW 9:00 AM - 10:15 AM,Web/Distance Learning,Dallin Smith,45,41,4
ACCT,406,Advanced Accounting Information Systems,Lecture,02/01/2021 - 05/07/2021,3 units,Tu 3:00 PM - 5:30 PM,Web/Distance Learning,Anthony Bucaro,45,17,28
ACCT,414,Corporate Reporting and Analysis,Lecture,02/01/2021 - 05/07/2021,3 units,W 6:00 PM - 8:00 PM,Web/Distance Learning,Gregory Jonas,45,20,25
ACCT,431,"Tax Practice: Analysis, Planning and Communications",Lecture,02/01/2021 - 05/07/2021,3 units,M 3:00 PM - 5:30 PM,Web/Distance Learning,David Johnson,45,11,34
ACCT,444,Advanced Auditing Theory and Practice,Lecture,02/01/2021 - 05/07/2021,3 units,M 9:00 AM - 11:30 AM,Web/Distance Learning,John Keyser,45,36,9
ACCT,501,Special Problems and Topics,Independent Study,02/01/2021 - 05/07/2021,3 units,MW 9:00 AM - 10:15 AM,Web/Distance Learning,Thomas King,45,23,22
ACCT,540,Corporate Governance and Contemporary Accounting Policy,Seminar,02/01/2021 - 05/07/2021,3 units,Tu 9:00 AM - 11:30 AM,Web/Distance Learning,Thomas King,45,35,10
ACCT,701,Dissertation Ph.D.,Dissertation,02/01/2021 - 05/07/2021,1 - 9 units,TBA ,Web/Distance Learning,Timothy Fogarty,999,4,995
AFST,202,Race and Ethnic Minorities in The United States,Lecture,02/01/2021 - 05/07/2021,3 units,MWF 11:40 AM - 12:30 PM,Web/Distance Learning,Staff,50,17,33
AFST,212,History of Rock and Roll,Lecture,02/01/2021 - 05/07/2021,3 units,MW 4:50 PM - 6:05 PM,Web/Distance Learning,Aaron McPeck,17,17,0
AFST,212,History of Rock and Roll,Lecture,02/01/2021 - 05/07/2021,3 units,MW 4:50 PM - 6:05 PM,Web/Distance Learning,Kelli Minelli,17,12,5
AFST,258,History of Southern Africa,Lecture,01/08/2021 - 01/29/2021,3 units,MTuWThF 9:00 AM - 11:20 AM,Web/Distance Learning,Jonathan Sadowsky,999,21,978
AFST,295,The Francophone World,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 11:30 AM - 12:45 PM,Web/Distance Learning,Gilbert Doho,15,14,1
ANAT,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 4 units,TBA ,To Be Announced,Scott Simpson,6,0,6
ANAT,411,Gross Anatomy,Laboratory,02/01/2021 - 05/07/2021,6 units,MWF 1:00 PM - 4:00 PM,Robbins Building EG20,Darin Croft,80,48,32
ANAT,411,Gross Anatomy,Laboratory,02/01/2021 - 05/07/2021,6 units,TBA ,Web/Distance Learning,Darin Croft,80,48,32
ANAT,467,Topics in Evolutionary Biology,Lecture,02/01/2021 - 05/07/2021,3 units,F 5:00 PM - 7:30 PM,Web/Distance Learning,Patricia Princehouse,999,36,963
ANAT,499,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 4 units,TBA ,To Be Announced,Scott Simpson,2,1,1
ANAT,499,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 4 units,TBA ,To Be Announced,Andrew Crofton,3,1,2
ANAT,499,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 4 units,TBA ,To Be Announced,Darin Croft,1,1,0
ANAT,499,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 4 units,TBA ,To Be Announced,Susanne Wish-Baratz,999,0,999
ANAT,503,Readings and Discussions,Seminar,02/01/2021 - 05/07/2021,1 - 3 units,TBA ,To Be Announced,Scott Simpson,3,0,3
ANAT,503,Readings and Discussions,Seminar,02/01/2021 - 05/07/2021,1 - 3 units,TBA ,To Be Announced,Andrew Crofton,3,0,3
ANAT,503,Readings and Discussions,Seminar,02/01/2021 - 05/07/2021,1 - 3 units,TBA ,To Be Announced,Darin Croft,5,0,5
ANAT,503,Readings and Discussions,Seminar,02/01/2021 - 05/07/2021,1 - 3 units,TBA ,To Be Announced,Susanne Wish-Baratz,1,0,1
ANAT,503,Readings and Discussions,Seminar,02/01/2021 - 05/07/2021,1 - 3 units,TBA ,To Be Announced,Bryan Singelyn,1,0,1
ANAT,516,Surgical Anatomy: Head and Neck,Lecture,04/05/2021 - 04/30/2021,4 units,MTuWThF 8:00 AM - 5:00 PM,Biomed Research Bldg B68,Darin Croft,12,13,-1
ANAT,523,Histopathology of Organ Systems,Lecture,02/01/2021 - 05/07/2021,3 units,MWF 1:30 PM - 3:30 PM,Web/Distance Learning,Nicholas Ziats,50,26,24
ANAT,560,Applied Neuroanatomy,Lecture,01/08/2021 - 01/29/2021,3 units,MTuWThF 2:15 PM - 5:15 PM,Web/Distance Learning,Andrew Crofton,30,5,25
ANAT,610,Oxygen and Physiological Function,Lecture,02/01/2021 - 05/07/2021,1 units,Th 1:00 PM - 2:00 PM,Web/Distance Learning,"Joseph LaManna,Kui Xu,Michelle Puchowicz",20,2,18
ANAT,611,Practicum in Human Gross Anatomy,Practicum,02/01/2021 - 05/07/2021,3 units,MWF 1:00 PM - 5:00 PM,To Be Announced,Darin Croft,6,1,5
ANAT,651,Thesis M.S.,Thesis,02/01/2021 - 05/07/2021,1 - 9 units,TBA ,To Be Announced,Scott Simpson,999,0,999
ANAT,651,Thesis M.S.,Thesis,02/01/2021 - 05/07/2021,1 - 9 units,TBA ,To Be Announced,Andrew Crofton,999,1,998
ANAT,651,Thesis M.S.,Thesis,02/01/2021 - 05/07/2021,1 - 9 units,TBA ,To Be Announced,Darin Croft,999,0,999
ANAT,651,Thesis M.S.,Thesis,02/01/2021 - 05/07/2021,1 - 9 units,TBA ,To Be Announced,Susanne Wish-Baratz,999,1,998
ANEE,344,Archaeology of the Ancient Mediterranean,Lecture,02/01/2021 - 05/07/2021,3 units,MW 3:20 PM - 4:35 PM,Web/Distance Learning,Meghan Strong,40,20,20
ANEE,444,Archaeology of the Ancient Mediterranean,Lecture,02/01/2021 - 05/07/2021,3 units,MW 3:20 PM - 4:35 PM,Web/Distance Learning,Meghan Strong,40,20,20
ANES,441,Patient Monitoring and Instrumentation II,Lecture,01/04/2021 - 05/07/2021,2 units,M 3:30 PM - 4:30 PM,University Hospital,David Zagorski,30,26,4
ANES,441,Patient Monitoring and Instrumentation II,Lecture,01/04/2021 - 05/07/2021,2 units,TBA ,"Houston, TX",Stephen Hunt,45,31,14
ANES,441,Patient Monitoring and Instrumentation II,Lecture,01/04/2021 - 05/07/2021,2 units,TBA ,"Washington, DC",Saral Patel,35,27,8
ANES,458,Applied Physiology for Anesthesiologist Assistants II,Lecture,01/04/2021 - 05/07/2021,3 units,W 12:30 PM - 2:00 PM,Web/Distance Learning,Michael Altose,30,26,4
ANES,458,Applied Physiology for Anesthesiologist Assistants II,Lecture,01/04/2021 - 05/07/2021,3 units,W 12:30 PM - 2:00 PM,"Houston, TX",Michael Altose,45,31,14
ANES,458,Applied Physiology for Anesthesiologist Assistants II,Lecture,01/04/2021 - 05/07/2021,3 units,W 12:30 PM - 2:00 PM,"Washington, DC",Michael Altose,35,27,8
ANES,464,Anesthesia Clinical Correlation II,Lecture,01/04/2021 - 05/07/2021,1 units,W 4:00 PM - 6:00 PM,Web/Distance Learning,Carie Twichell,30,26,4
ANES,464,Anesthesia Clinical Correlation II,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,"Houston, TX",Stephen Hunt,45,31,14
ANES,464,Anesthesia Clinical Correlation II,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,"Washington, DC",Daniel Pistone,35,27,8
ANES,465,Anesthesia Clinical Experience II,Clinical,01/04/2021 - 05/07/2021,4 units,TBA ,University Hospital,Joseph Rifici,30,26,4
ANES,465,Anesthesia Clinical Experience II,Clinical,01/04/2021 - 05/07/2021,4 units,TBA ,"Houston, TX",Kenneth Maloney,45,31,14
ANES,465,Anesthesia Clinical Experience II,Clinical,01/04/2021 - 05/07/2021,4 units,TBA ,"Washington, DC",Shane Angus,35,27,8
ANES,469,Anesthesia Clinical Experience IV,Clinical,01/04/2021 - 05/07/2021,1 - 10 units,TBA ,"Houston, TX",Kenneth Maloney,45,27,18
ANES,469,Anesthesia Clinical Experience IV,Clinical,01/04/2021 - 05/07/2021,1 - 10 units,TBA ,"Washington, DC",Shane Angus,35,22,13
ANES,470,Anesthesia Clinical Correlation IV,Lecture,01/04/2021 - 05/07/2021,1 units,W 4:00 PM - 6:00 PM,Web/Distance Learning,Carie Twichell,30,23,7
ANES,470,Anesthesia Clinical Correlation IV,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,"Houston, TX",Kenneth Maloney,45,31,14
ANES,470,Anesthesia Clinical Correlation IV,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,"Washington, DC",Daniel Pistone,35,22,13
ANES,471,Anesthesia Clinical Experience V,Clinical,01/04/2021 - 05/07/2021,1 - 10 units,TBA ,University Hospital,Joseph Rifici,30,23,7
ANES,471,Anesthesia Clinical Experience V,Clinical,01/04/2021 - 05/07/2021,1 - 10 units,TBA ,"Houston, TX",Kenneth Maloney,45,31,14
ANES,471,Anesthesia Clinical Experience V,Clinical,01/04/2021 - 05/07/2021,1 - 10 units,TBA ,"Washington, DC",Shane Angus,35,22,13
ANES,476,Pharmacology for Anesthesiologist Assistants II,Lecture,01/04/2021 - 05/07/2021,3 units,W 2:00 PM - 3:30 PM,Web/Distance Learning,Michael Altose,30,26,4
ANES,476,Pharmacology for Anesthesiologist Assistants II,Lecture,01/04/2021 - 05/07/2021,3 units,W 2:00 PM - 3:30 PM,"Houston, TX",Michael Altose,45,31,14
ANES,476,Pharmacology for Anesthesiologist Assistants II,Lecture,01/04/2021 - 05/07/2021,3 units,W 2:00 PM - 3:30 PM,"Washington, DC",Michael Altose,35,27,8
ANES,478,Clinical Decision Making in Anesthesia II,Lecture,01/04/2021 - 05/07/2021,3 units,Tu 1:00 PM - 4:30 PM,Robbins Building E301,Zachary Barsman,30,26,4
ANES,478,Clinical Decision Making in Anesthesia II,Lecture,01/04/2021 - 05/07/2021,3 units,TBA ,"Houston, TX",Stephen Hunt,45,31,14
ANES,478,Clinical Decision Making in Anesthesia II,Lecture,01/04/2021 - 05/07/2021,3 units,TBA ,"Washington, DC",Saral Patel,35,27,8
ANES,487,Physiological Model-Based Simulation II,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,To Be Announced,Elizabeth Bell,35,26,9
ANES,487,Physiological Model-Based Simulation II,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,"Houston, TX",Kenneth Maloney,45,31,14
ANES,487,Physiological Model-Based Simulation II,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,"Washington, DC",Ashish Patel,35,27,8
ANES,499,Clinical Remediation,Clinical,01/04/2021 - 05/07/2021,1 - 10 units,TBA ,University Hospital,Joseph Rifici,30,0,30
ANES,499,Clinical Remediation,Clinical,01/04/2021 - 05/07/2021,1 - 10 units,TBA ,"Houston, TX",Kenneth Maloney,5,0,5
ANES,499,Clinical Remediation,Clinical,01/04/2021 - 05/07/2021,1 - 10 units,TBA ,"Washington, DC",Shane Angus,5,0,5
ANES,581,Principles of Anesthesia Safety and Science Review II,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,University Hospital,Zachary Barsman,30,23,7
ANES,581,Principles of Anesthesia Safety and Science Review II,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,"Houston, TX",Kenneth Maloney,45,31,14
ANES,581,Principles of Anesthesia Safety and Science Review II,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,"Washington, DC",Daniel Pistone,35,22,13
ANES,585,Physiological Model-Based Simulation IV,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,University Hospital,Zachary Barsman,30,23,7
ANES,585,Physiological Model-Based Simulation IV,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,"Houston, TX",Kenneth Maloney,45,31,14
ANES,585,Physiological Model-Based Simulation IV,Lecture,01/04/2021 - 05/07/2021,1 units,TBA ,"Washington, DC",Ashish Patel,35,22,13
ANES,599,Clinical Remediation,Clinical,01/04/2021 - 05/07/2021,1 - 10 units,TBA ,University Hospital,Joseph Rifici,30,0,30
ANES,599,Clinical Remediation,Clinical,01/04/2021 - 05/07/2021,1 - 10 units,TBA ,"Houston, TX",Kenneth Maloney,5,0,5
ANES,599,Clinical Remediation,Clinical,01/04/2021 - 05/07/2021,1 - 10 units,TBA ,"Washington, DC",Shane Angus,5,0,5
ANTH,101,Exploring Anthropology,Lecture,02/01/2021 - 05/07/2021,1 units,W 2:15 PM - 3:05 PM,Web/Distance Learning,Cynthia Beall,999,13,986
ANTH,102,Being Human: An Introduction to Social and Cultural Anthropology,Lecture,02/01/2021 - 05/07/2021,3 units,MW 12:45 PM - 2:00 PM,Web/Distance Learning,Katia Almeida,50,43,7
ANTH,102,Being Human: An Introduction to Social and Cultural Anthropology,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 1:00 PM - 2:15 PM,Web/Distance Learning,Melvyn Goldstein,70,33,37
ANTH,103,Introduction to Human Evolution,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 11:30 AM - 12:45 PM,Web/Distance Learning,Nicole Burt,70,32,38
ANTH,107,Archaeology: An Introduction,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 10:00 AM - 11:15 AM,Web/Distance Learning,Jim Shaffer,46,7,39
ANTH,215,"Health, Culture, and Disease: An Introduction to Medical Anthropology",Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 8:30 AM - 9:45 AM,Web/Distance Learning,Maureen Floriano,48,42,6
ANTH,225,Evolution,Lecture,01/08/2021 - 01/29/2021,3 units,TuWTh 5:00 PM - 8:55 PM,Web/Distance Learning,Patricia Princehouse,999,228,771
ANTH,255,Global Judaism: Diversity Across the Jewish World,Lecture,02/01/2021 - 05/07/2021,3 units,MW 3:20 PM - 4:35 PM,Web/Distance Learning,Alanna Cooper,25,2,23
ANTH,303,Interdisciplinary Solutions to Global Health Issues,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 11:30 AM - 12:45 PM,Web/Distance Learning,"Andrew Rollins,Janet Mc Grath",20,19,1
ANTH,308,Child Policy Externship,Practicum,02/01/2021 - 05/07/2021,3 units,TBA ,Web/Distance Learning,Gabriella Celeste,25,1,24
ANTH,333,Roots of Ancient India: Archaeology of South Asia,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 2:30 PM - 3:45 PM,Web/Distance Learning,Jim Shaffer,17,8,9
ANTH,335,Illegal Drugs and Society,Lecture,01/08/2021 - 01/29/2021,3 units,MTuWThF 9:00 AM - 11:20 AM,Web/Distance Learning,Lee Hoffer,999,145,854
ANTH,344,Archaeology of the Ancient Mediterranean,Lecture,02/01/2021 - 05/07/2021,3 units,MW 3:20 PM - 4:35 PM,Web/Distance Learning,Meghan Strong,40,20,20
ANTH,349,Cultures of Latin America,Seminar,02/01/2021 - 05/07/2021,3 units,MWF 9:30 AM - 10:20 AM,Web/Distance Learning,Katia Almeida,20,21,-1
ANTH,353,Chinese Culture and Society,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 11:30 AM - 12:45 PM,Web/Distance Learning,Lihong Shi,30,21,9
ANTH,360,"Global Politics of Fertility, Family Planning, and Population Control",Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 2:30 PM - 3:45 PM,Web/Distance Learning,Lihong Shi,35,25,10
ANTH,362,Contemporary Theory in Anthropology,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 1:00 PM - 2:15 PM,Web/Distance Learning,Atwood Gaines,999,7,992
ANTH,367,Topics in Evolutionary Biology,Lecture,02/01/2021 - 05/07/2021,3 units,F 5:00 PM - 7:30 PM,Web/Distance Learning,Patricia Princehouse,999,36,963
ANTH,371,"Culture, Behavior, and Person: Psychological Anthropology",Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 10:00 AM - 11:15 AM,Web/Distance Learning,Atwood Gaines,999,18,981
ANTH,381,Independent Study in Laboratory Archaeology II,Independent Study,02/01/2021 - 05/07/2021,1 - 3 units,TBA ,To Be Announced,Brian Redmond,10,0,10
ANTH,391,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Cynthia Beall,999,0,999
ANTH,391,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Atwood Gaines,999,0,999
ANTH,391,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Melvyn Goldstein,999,0,999
ANTH,391,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Lawrence Greksa,999,0,999
ANTH,391,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Lee Hoffer,999,0,999
ANTH,391,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Jill Korbin,999,0,999
ANTH,391,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Janet Mc Grath,999,0,999
ANTH,391,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Jim Shaffer,999,0,999
ANTH,391,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Yohannes Ambaye,999,0,999
ANTH,391,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Lihong Shi,999,0,999
ANTH,391,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Scott Simpson,999,0,999
ANTH,392,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Cynthia Beall,999,0,999
ANTH,392,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Atwood Gaines,999,0,999
ANTH,392,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Melvyn Goldstein,999,0,999
ANTH,392,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Lawrence Greksa,999,0,999
ANTH,392,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Lee Hoffer,999,0,999
ANTH,392,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Jill Korbin,999,0,999
ANTH,392,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Janet Mc Grath,999,0,999
ANTH,392,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Jim Shaffer,999,0,999
ANTH,392,Honors Tutorial,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Lihong Shi,999,0,999
ANTH,396,Undergraduate Research in Evolutionary Biology,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Cynthia Beall,999,0,999
ANTH,396,Undergraduate Research in Evolutionary Biology,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Darin Croft,999,0,999
ANTH,396,Undergraduate Research in Evolutionary Biology,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Patricia Princehouse,999,0,999
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Jill Korbin,999,0,999
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Brian Redmond,999,0,999
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Scott Simpson,999,1,998
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Lawrence Greksa,999,0,999
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Cynthia Beall,999,0,999
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Atwood Gaines,999,0,999
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Melvyn Goldstein,999,0,999
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Lee Hoffer,999,1,998
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Janet Mc Grath,999,0,999
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Jim Shaffer,999,0,999
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Yohannes Ambaye,999,0,999
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Lihong Shi,999,0,999
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Katia Almeida,999,1,998
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Richard Smith,999,0,999
ANTH,398,Anthropology SAGES Capstone,Research,02/01/2021 - 05/07/2021,3 units,TBA ,To Be Announced,Bridget Haas,999,0,999
ANTH,398C,Child Policy Externship and Capstone,Practicum,02/01/2021 - 05/07/2021,3 units,TBA ,Web/Distance Learning,Gabriella Celeste,25,2,23
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Scott Simpson,999,0,999
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Lawrence Greksa,999,0,999
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Cynthia Beall,999,0,999
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Atwood Gaines,999,0,999
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Melvyn Goldstein,999,0,999
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Lee Hoffer,999,0,999
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Jill Korbin,999,0,999
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Janet Mc Grath,999,0,999
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Jim Shaffer,999,0,999
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Brian Redmond,999,0,999
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Katia Almeida,999,0,999
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Lihong Shi,999,0,999
ANTH,399,Independent Study,Independent Study,02/01/2021 - 05/07/2021,1 - 6 units,TBA ,To Be Announced,Yohannes Ambaye,999,0,999
ANTH,435,Illegal Drugs and Society,Lecture,01/08/2021 - 01/29/2021,3 units,MTuWThF 9:00 AM - 11:20 AM,Web/Distance Learning,Lee Hoffer,999,145,854
ANTH,439B,Applying Anthropological Research Methods,Practicum,02/01/2021 - 05/07/2021,1 units,TBA ,To Be Announced,Lee Hoffer,8,3,5
ANTH,444,Archaeology of the Ancient Mediterranean,Lecture,02/01/2021 - 05/07/2021,3 units,MW 3:20 PM - 4:35 PM,Web/Distance Learning,Meghan Strong,40,20,20
ANTH,449,Cultures of Latin America,Seminar,02/01/2021 - 05/07/2021,3 units,MWF 9:30 AM - 10:20 AM,Web/Distance Learning,Katia Almeida,20,21,-1
ANTH,453,Chinese Culture and Society,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 11:30 AM - 12:45 PM,Web/Distance Learning,Lihong Shi,30,21,9
ANTH,460,"Global Politics of Fertility, Family Planning, and Population Control",Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 2:30 PM - 3:45 PM,Web/Distance Learning,Lihong Shi,35,25,10
ANTH,462,Contemporary Theory in Anthropology,Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 1:00 PM - 2:15 PM,Web/Distance Learning,Atwood Gaines,999,7,992
ANTH,467,Topics in Evolutionary Biology,Lecture,02/01/2021 - 05/07/2021,3 units,F 5:00 PM - 7:30 PM,Web/Distance Learning,Patricia Princehouse,999,36,963
ANTH,471,"Culture, Behavior, and Person: Psychological Anthropology",Lecture,02/01/2021 - 05/07/2021,3 units,TuTh 10:00 AM - 11:15 AM,Web/Distance Learning,Atwood Gaines,999,18,981
ANTH,481,Medical Anthropology and Global Health II,Lecture,02/01/2021 - 05/07/2021,3 units,WF 2:30 PM - 5:00 PM,Web/Distance Learning,Janet Mc Grath,20,5,15
ANTH,481B,Medical Anthropology and Global Health II Recitation,Discussion,02/01/2021 - 05/07/2021,1 units,TBA ,Web/Distance Learning,Janet Mc Grath,12,3,9
ANTH,504,Anthropological Research Design,Lecture,02/01/2021 - 05/07/2021,3 units,M 2:15 PM - 4:45 PM,Clark Hall 205,Lee Hoffer,15,4,11
ANTH,511,Seminar in Anthropology and Global Health: Topics,Seminar,02/01/2021 - 05/07/2021,3 units,W 10:00 AM - 12:30 PM,Web/Distance Learning,Katharina Rynkiewich,20,6,14
