Subject,CatalogNumber,CourseTitle,CourseType,Dates,Credit,MeetingTime,Room,Instructor,TotalSeats,SeatsTaken,AvailableSeats
MSBA,445,Advanced Marketing Analytics,Lecture,02/01/2021 - 05/07/2021,3 units,Th 7:00 PM - 9:45 PM,Web/Distance Learning,Rakesh Niraj,35,11,24
MSBA,485B,Team Development,Seminar,02/01/2021 - 03/19/2021,1.5 units,F 9:00 AM - 11:45 AM,Web/Distance Learning,Tracey Messer,30,20,10
MSFI,401,Financial Orientation,Lecture,01/19/2021 - 01/28/2021,1.5 units,Tu 7:00 AM - 9:45 AM,To Be Announced,Leonardo Madureira,10,3,7
MSFI,401,Financial Orientation,Lecture,01/19/2021 - 01/28/2021,1.5 units,Tu 7:00 AM - 9:45 AM,Web/Distance Learning,Leonardo Madureira,35,33,2
MSFI,403,Corporate Financial Technology,Lecture,02/01/2021 - 05/07/2021,3 units,W 7:00 PM - 9:45 PM,Peter B Lewis 05,Gregory Harmon,70,49,21
MSFI,403,Corporate Financial Technology,Lecture,02/01/2021 - 05/07/2021,3 units,M 7:00 PM - 9:45 PM,Web/Distance Learning,Gregory Harmon,70,24,46
MSFI,403,Corporate Financial Technology,Lecture,02/01/2021 - 05/07/2021,3 units,W 7:00 PM - 9:45 PM,Web/Distance Learning,Gregory Harmon,70,49,21
MSFI,421,Corporate Financial Analysis,Lecture,02/01/2021 - 05/07/2021,3 units,F 7:00 PM - 9:45 PM,Web/Distance Learning,Jose Olavarria Baeza,70,33,37
MSFI,428,Financial Strategy and Value Creation,Lecture,02/01/2021 - 05/07/2021,3 units,Tu 7:00 PM - 9:45 PM,Peter B Lewis 202,Scott Fine,60,49,11
MSFI,428,Financial Strategy and Value Creation,Lecture,02/01/2021 - 05/07/2021,3 units,Tu 7:00 PM - 9:45 PM,Web/Distance Learning,Scott Fine,60,49,11
MSFI,429,Investment Management,Lecture,02/01/2021 - 05/07/2021,3 units,F 1:00 PM - 3:00 PM,To Be Announced,"Joonki Noh,Marybeth Keeler",80,53,27
